time_days,gas_rate_m3_day,cumulative_gas_m3,oil_rate_m3_day,cumulative_oil_m3,field_pressure_bar,water_cut_fraction,water_injection_rate_m3_day,cumulative_injected_water_m3,water_rate_m3_day,cumulative_water_m3
1.0,1531685.625,1531685.625,438.50372314453125,438.50372314453125,271.4521789550781,0.0037272500339895487,1500.0,1500.0,1.6405277252197266,1.6405277252197266
2.0,731844.9375,2263530.5,186.16921997070312,624.6729736328125,271.3544006347656,0.0037338039837777615,1500.0,3000.0,0.6977245211601257,2.338252305984497
3.0,542746.75,2806277.25,123.02578735351562,747.69873046875,271.30670166015625,0.003701132722198963,1500.0,4500.0,0.45702627301216125,2.795278549194336
4.0,455866.59375,3262144.0,97.62845611572266,845.3272094726562,271.2761535644531,0.0036817349027842283,1500.0,6000.0,0.3607703447341919,3.1560487747192383
5.0,405515.90625,3667659.75,84.01677703857422,929.3439331054688,271.25665283203125,0.0036692360881716013,1500.0,7500.0,0.3094126880168915,3.465461492538452
6.0,373088.3125,4040748.25,75.53964233398438,1004.8836059570312,271.24957275390625,0.0036597750149667263,1500.0,9000.0,0.2774735689163208,3.7429351806640625
7.0,350937.03125,4391685.0,69.83606719970703,1074.7197265625,271.2496032714844,0.0036521058063954115,1500.0,10500.0,0.2559835910797119,3.9989187717437744
8.0,335349.3125,4727034.5,65.84549713134766,1140.565185546875,271.2563171386719,0.0036457327660173178,1500.0,12000.0,0.24093347787857056,4.239852428436279
9.0,324164.46875,5051199.0,62.989959716796875,1203.55517578125,271.2674255371094,0.0036404274869710207,1500.0,13500.0,0.23014822602272034,4.470000267028809
10.0,316233.3125,5367432.5,60.947723388671875,1264.5028076171875,271.2818298339844,0.0036359422374516726,1500.0,15000.0,0.22241108119487762,4.692411422729492
13.0,305726.125,6284610.5,58.20817565917969,1439.12744140625,271.3339538574219,0.0036274760495871305,1500.0,19500.0,0.21191748976707458,5.328164100646973
15.0,301995.84375,6888602.5,57.19340133666992,1553.51416015625,271.3716125488281,0.0036229807883501053,1500.0,22500.0,0.20796403288841248,5.744091987609863
20.0,300167.15625,8389438.0,56.64760208129883,1836.752197265625,271.46868896484375,0.003616057336330414,1500.0,30000.0,0.20558437705039978,6.772014141082764
25.0,300809.78125,9893487.0,56.726566314697266,2120.385009765625,271.5657043457031,0.0036104635801166296,1500.0,37500.0,0.20555134117603302,7.799770832061768
30.0,302260.8125,11404791.0,57.04075241088867,2405.5888671875,271.66119384765625,0.0036056912504136562,1500.0,45000.0,0.20641560852527618,8.831849098205566
35.0,303879.53125,12924189.0,57.42525100708008,2692.715087890625,271.7531433105469,0.003601416479796171,1500.0,52500.0,0.2075597494840622,9.869647979736328
40.0,305407.0625,14451224.0,57.812015533447266,2981.775146484375,271.84173583984375,0.0035975032951682806,1500.0,60000.0,0.2087298184633255,10.913296699523926
45.0,306745.625,15984952.0,58.17347717285156,3272.642578125,271.92779541015625,0.0035938918590545654,1500.0,67500.0,0.20982326567173004,11.96241283416748
50.0,307863.21875,17524268.0,58.499267578125,3565.138916015625,272.0128173828125,0.0035905574914067984,1500.0,75000.0,0.2108018845319748,13.016422271728516
55.0,308763.09375,19068084.0,58.787601470947266,3859.076904296875,272.0966796875,0.0035874880850315094,1500.0,82500.0,0.21165914833545685,14.074718475341797
60.0,309469.28125,20615430.0,59.04153060913086,4154.28466796875,272.1806335449219,0.003584677819162607,1500.0,90000.0,0.21240626275539398,15.136749267578125
70.0,310351.0,23718940.0,59.51317596435547,4749.41650390625,272.34576416015625,0.003580475691705942,1500.0,105000.0,0.2138511836528778,17.27526092529297
80.0,310902.96875,26827970.0,59.86411666870117,5348.0576171875,272.5075378417969,0.003576864255592227,1500.0,120000.0,0.21489445865154266,19.424205780029297
100.0,311302.5625,33054022.0,60.53135299682617,6558.6845703125,272.8133544921875,0.0035742162726819515,1500.0,150000.0,0.2171282172203064,23.766769409179688
120.0,310991.375,39273848.0,60.95883560180664,7777.861328125,273.1281433105469,0.0035748817026615143,1500.0,180000.0,0.21870245039463043,28.140819549560547
140.0,310053.84375,45474924.0,61.27674865722656,9003.396484375,273.4740905761719,0.00357951526530087,1500.0,210000.0,0.22012901306152344,32.543399810791016
160.0,308795.59375,51650836.0,61.52988815307617,10233.994140625,273.85211181640625,0.0035876501351594925,1500.0,240000.0,0.22154252231121063,36.97425079345703
180.0,307464.21875,57800120.0,61.762298583984375,11469.240234375,274.2575988769531,0.003598995041102171,1500.0,270000.0,0.22308509051799774,41.435951232910156
200.0,305910.25,63918328.0,61.9639778137207,12708.51953125,274.69573974609375,0.0036136689595878124,1500.0,300000.0,0.22472940385341644,45.930538177490234
220.0,303972.375,69997776.0,62.102413177490234,13950.5673828125,275.19390869140625,0.0036314697936177254,1500.0,330000.0,0.2263449877500534,50.45743942260742
240.0,301990.9375,76037592.0,62.234588623046875,15195.259765625,275.7521667480469,0.0036522571463137865,1500.0,360000.0,0.22812990844249725,55.02003860473633
260.0,299949.0625,82036576.0,62.356056213378906,16442.380859375,276.3735656738281,0.0036759565118700266,1500.0,390000.0,0.23006387054920197,59.621315002441406
280.0,297660.59375,87989784.0,62.424163818359375,17690.86328125,277.07171630859375,0.0037024724297225475,1500.0,420000.0,0.23198264837265015,64.26097106933594
300.0,295168.875,93893160.0,62.45480728149414,18939.9609375,277.8660583496094,0.003731783479452133,1500.0,450000.0,0.23394083976745605,68.93978118896484
320.0,293306.875,99759304.0,62.62468719482422,20192.453125,278.75921630859375,0.003763900836929679,1500.0,480000.0,0.23660366237163544,73.67185974121094
340.0,292662.0625,105612544.0,63.069644927978516,21453.845703125,279.66302490234375,0.0037989323027431965,1500.0,510000.0,0.2405109852552414,78.4820785522461
360.0,292774.25,111468024.0,63.70932388305664,22728.033203125,280.5595703125,0.003837060183286667,1500.0,540000.0,0.2453981190919876,83.3900375366211
380.0,293253.0,117333088.0,64.47157287597656,24017.46484375,281.4413146972656,0.0038783857598900795,1500.0,570000.0,0.2510191798210144,88.4104232788086
400.0,293438.875,123201864.0,65.19585418701172,25321.380859375,282.3204345703125,0.003922747913748026,1500.0,600000.0,0.2567541003227234,93.5455093383789
420.0,294374.53125,129089352.0,66.11985778808594,26643.779296875,283.2204284667969,0.003970645368099213,1500.0,630000.0,0.26358509063720703,98.81720733642578
440.0,295384.78125,134997056.0,67.10829162597656,27985.9453125,284.0973205566406,0.004022323992103338,1500.0,660000.0,0.27102145552635193,104.23764038085938
460.0,295609.75,140909248.0,67.96997833251953,29345.34375,284.9737854003906,0.004077970050275326,1500.0,690000.0,0.2783145010471344,109.80392456054688
466.6000061035156,295412.84375,142858976.0,68.18757629394531,29795.3828125,285.3047180175781,0.004096783697605133,1500.0,699900.0,0.2804988920688629,111.65522003173828
469.239990234375,295307.46875,143638576.0,68.27130126953125,29975.619140625,285.4382629394531,0.004104387015104294,1500.0,703860.0,0.28136664628982544,112.39802551269531
471.586669921875,295211.5,144331344.0,68.34876251220703,30136.009765625,285.55694580078125,0.0041112047620117664,1500.0,707380.0,0.28215575218200684,113.06015014648438
474.87200927734375,295049.59375,145300688.0,68.45330810546875,30360.90234375,285.7226867675781,0.004120859783142805,1500.0,712308.0,0.2832537293434143,113.99073791503906
478.1573181152344,294874.625,146269440.0,68.55459594726562,30586.126953125,285.88818359375,0.004130624234676361,1500.0,717236.0,0.284347802400589,114.92491149902344
480.0,294771.5625,146812608.0,68.60919189453125,30712.55078125,285.9809875488281,0.004136135336011648,1500.0,720000.0,0.28495553135871887,115.44998931884766
483.3168029785156,294591.96875,147789712.0,68.71375274658203,30940.4609375,286.1475524902344,0.00414617033675313,1500.0,724975.1875,0.2860850691795349,116.39888000488281
487.9603271484375,294441.625,149156960.0,68.88363647460938,31260.322265625,286.3858337402344,0.0041604358702898026,1500.0,731940.5,0.28778326511383057,117.7352066040039
491.6751403808594,294357.0625,150250432.0,69.02811431884766,31516.75,286.5776062011719,0.00417199544608593,1500.0,737512.6875,0.28919148445129395,118.80950164794922
496.8758850097656,294265.5,151780832.0,69.24068450927734,31876.853515625,286.8460388183594,0.004188468214124441,1500.0,745313.8125,0.29123222827911377,120.3241195678711
