case_id,time_days,gas_rate_m3_day,cumulative_gas_m3,oil_rate_m3_day,cumulative_oil_m3,field_pressure_bar,water_cut_fraction,water_injection_rate_m3_day,cumulative_injected_water_m3,water_rate_m3_day,cumulative_water_m3,parameter_polymer_concentration,parameter_injection_rate
polymer_sensitivity_v1-0001-16d0f364,1.0,1531511.375,1531511.375,438.476806640625,438.476806640625,270.9838256835937,0.0037272714544087,100.0,100.0,1.6404364109039309,1.6404364109039309,0.5,100
polymer_sensitivity_v1-0001-16d0f364,2.0,730985.25,2262496.75,186.0360870361328,624.5128784179688,270.59991455078125,0.0037339970003813,100.0,200.0,0.6972617506980896,2.337698221206665,0.5,100
polymer_sensitivity_v1-0001-16d0f364,3.0,540452.375,2802949.0,122.6623992919922,747.17529296875,270.309814453125,0.0037017203867435,100.0,300.0,0.4557489454746246,2.793447256088257,0.5,100
polymer_sensitivity_v1-0001-16d0f364,4.0,451269.0625,3254218.0,96.88551330566406,844.060791015625,270.03973388671875,0.0036829458549618,100.0,400.0,0.358143150806427,3.151590347290039,0.5,100
polymer_sensitivity_v1-0001-16d0f364,5.0,397764.8125,3651983.0,82.7401123046875,926.8009033203124,269.78961181640625,0.0036712358705699,100.0,500.0,0.3048777282238006,3.456468105316162,0.5,100
polymer_sensitivity_v1-0001-16d0f364,6.0,361340.4375,4013323.25,73.57272338867188,1000.3736572265624,269.5608825683594,0.0036626630462706,100.0,600.0,0.270462691783905,3.726930856704712,0.5,100
polymer_sensitivity_v1-0001-16d0f364,7.0,334595.53125,4347919.0,67.05946350097656,1067.43310546875,269.3500671386719,0.0036558515857905,100.0,700.0,0.2460589855909347,3.972989797592163,0.5,100
polymer_sensitivity_v1-0001-16d0f364,8.0,313884.5625,4661803.5,62.153541564941406,1129.586669921875,269.15478515625,0.003650271333754,100.0,800.0,0.2277085036039352,4.200698375701904,0.5,100
polymer_sensitivity_v1-0001-16d0f364,9.0,297147.0,4958950.5,58.29400253295898,1187.880615234375,268.9706115722656,0.00364565779455,100.0,900.0,0.2132975906133651,4.413995742797852,0.5,100
polymer_sensitivity_v1-0001-16d0f364,10.0,283159.28125,5242109.5,55.151817321777344,1243.032470703125,268.7964782714844,0.0036418158560991,100.0,1000.0,0.201586902141571,4.615582942962647,0.5,100
polymer_sensitivity_v1-0001-16d0f364,13.0,253532.484375,6002707.0,48.865047454833984,1389.6275634765625,268.3396911621094,0.003634538501501,100.0,1300.0,0.1782497614622116,5.150331974029541,0.5,100
polymer_sensitivity_v1-0001-16d0f364,15.0,237413.890625,6477535.0,45.52210235595703,1480.671875,268.0719299316406,0.0036302872467786,100.0,1500.0,0.165860429406166,5.482052803039551,0.5,100
polymer_sensitivity_v1-0001-16d0f364,20.0,208087.015625,7517970.0,39.74273300170898,1679.385498046875,267.508544921875,0.0036231053527444,100.0,2000.0,0.1445157080888748,6.204631328582764,0.5,100
polymer_sensitivity_v1-0001-16d0f364,25.0,185305.578125,8444498.0,34.68659210205078,1852.8184814453125,267.032470703125,0.0036082989536225,100.0,2500.0,0.1256128400564193,6.832695484161377,0.5,100
polymer_sensitivity_v1-0001-16d0f364,30.0,166633.90625,9277667.0,30.612998962402344,2005.8834228515625,266.6253967285156,0.0035940678790211,100.0,3000.0,0.1104220598936081,7.384805679321289,0.5,100
polymer_sensitivity_v1-0001-16d0f364,35.0,150892.65625,10032131.0,27.23230361938477,2142.044921875,266.2730712890625,0.0035802787169814,100.0,3500.0,0.0978495627641677,7.874053478240967,0.5,100
polymer_sensitivity_v1-0001-16d0f364,40.0,137387.0625,10719066.0,24.362443923950195,2263.857177734375,265.9609680175781,0.0035666276235133,100.0,4000.0,0.0872027873992919,8.310067176818848,0.5,100
polymer_sensitivity_v1-0001-16d0f364,45.0,125647.453125,11347303.0,21.88828468322754,2373.298583984375,265.6861267089844,0.0035529695451259,100.0,4500.0,0.0780457034707069,8.700296401977539,0.5,100
polymer_sensitivity_v1-0001-16d0f364,50.0,115380.59375,11924206.0,19.699291229248047,2471.795166015625,265.43975830078125,0.0035382856149226,100.0,5000.0,0.0699492171406745,9.050042152404783,0.5,100
polymer_sensitivity_v1-0001-16d0f364,55.0,106407.5546875,12456244.0,17.53268814086914,2559.45849609375,265.2175598144531,0.0035162321291863,100.0,5500.0,0.061866533011198,9.359375,0.5,100
polymer_sensitivity_v1-0001-16d0f364,60.0,98544.9375,12948969.0,15.365009307861328,2636.283447265625,265.0162048339844,0.0034841618034988,100.0,6000.0,0.0537213534116745,9.627982139587402,0.5,100
polymer_sensitivity_v1-0001-16d0f364,70.0,85651.75,13805486.0,11.451496124267578,2750.798583984375,264.6822814941406,0.0033932430669665,100.0,7000.0,0.0389900133013725,10.017881393432615,0.5,100
polymer_sensitivity_v1-0001-16d0f364,80.0,75056.21875,14556048.0,8.076607704162598,2831.564697265625,264.40386962890625,0.0032504384871572,100.0,8000.0,0.0263381265103817,10.28126335144043,0.5,100
polymer_sensitivity_v1-0001-16d0f364,100.0,60296.3203125,15761975.0,3.243177890777588,2896.42822265625,264.0025939941406,0.002579856198281,100.0,10000.0,0.0083885742351412,10.449034690856934,0.5,100
polymer_sensitivity_v1-0001-16d0f364,120.0,49692.85546875,16755832.0,2.6240251064300537,2948.90869140625,263.7056579589844,0.0025877873413264,100.0,12000.0,0.0068080369383096,10.585195541381836,0.5,100
polymer_sensitivity_v1-0001-16d0f364,140.0,44504.9375,17645930.0,32.98388671875,3608.58642578125,263.3830871582031,0.0038799417670816,100.0,14000.0,0.1284740269184112,13.154675483703612,0.5,100
polymer_sensitivity_v1-0001-16d0f364,160.0,33064.46875,18307220.0,1.745828628540039,3643.5029296875,263.27166748046875,0.0026039576623588,100.0,16000.0,0.0045579327270388,13.245834350585938,0.5,100
polymer_sensitivity_v1-0001-16d0f364,180.0,35033.4453125,19007888.0,26.05579948425293,4164.619140625,263.0636901855469,0.0039969682693481,100.0,18000.0,0.1045621335506439,15.337077140808104,0.5,100
polymer_sensitivity_v1-0001-16d0f364,200.0,25708.357421875,19522056.0,1.357365608215332,4191.76611328125,263.03253173828125,0.0026166730094701,100.0,20000.0,0.0035610999912023,15.408299446105955,0.5,100
polymer_sensitivity_v1-0001-16d0f364,220.0,29974.041015625,20121536.0,22.59286880493164,4643.62353515625,262.88629150390625,0.0041373120620846,100.0,22000.0,0.0938620865345001,17.285541534423828,0.5,100
polymer_sensitivity_v1-0001-16d0f364,240.0,21788.234375,20557302.0,1.1503633260726929,4666.630859375,262.897705078125,0.0026267615612596,100.0,24000.0,0.0030296884942799,17.346134185791016,0.5,100
polymer_sensitivity_v1-0001-16d0f364,260.0,27144.880859375,21100200.0,20.332897186279297,5073.28857421875,262.7869873046875,0.0042870063334703,100.0,26000.0,0.0875425562262535,19.09698486328125,0.5,100
polymer_sensitivity_v1-0001-16d0f364,280.0,19663.060546875,21493460.0,1.038156509399414,5094.0517578125,262.8217163085937,0.0026346733793616,100.0,28000.0,0.0027424287982285,19.15183448791504,0.5,100
polymer_sensitivity_v1-0001-16d0f364,300.0,25541.302734375,22004286.0,18.97539329528809,5473.5595703125,262.73150634765625,0.0044398298487067,100.0,30000.0,0.0846232250332832,20.84429931640625,0.5,100
polymer_sensitivity_v1-0001-16d0f364,320.0,18481.921875,22373924.0,0.9757912755012512,5493.07568359375,262.779052734375,0.0026407456025481,100.0,32000.0,0.0025836392305791,20.895971298217773,0.5,100
polymer_sensitivity_v1-0001-16d0f364,340.0,24605.328125,22866032.0,18.05879592895508,5854.25146484375,262.7012939453125,0.0045827878639101,100.0,34000.0,0.0831406489014625,22.55878448486328,0.5,100
polymer_sensitivity_v1-0001-16d0f364,360.0,17835.302734375,23222738.0,0.9416499137878418,5873.08447265625,262.7557983398437,0.0026452508755028,100.0,36000.0,0.0024975067935884,22.60873413085937,0.5,100
polymer_sensitivity_v1-0001-16d0f364,380.0,24061.888671875,23703976.0,17.32369613647461,6219.55859375,262.685791015625,0.00472242385149,100.0,38000.0,0.0821980088949203,24.252695083618164,0.5,100
polymer_sensitivity_v1-0001-16d0f364,400.0,17587.75,24055730.0,0.9285860657691956,6238.13037109375,262.74249267578125,0.0026471302844583,100.0,40000.0,0.0024646124802529,24.301986694335938,0.5,100
polymer_sensitivity_v1-0001-16d0f364,420.0,23768.04296875,24531092.0,16.304141998291016,6564.212890625,262.677978515625,0.0048469495959579,100.0,42000.0,0.0794102475047111,25.89019203186035,0.5,100
polymer_sensitivity_v1-0001-16d0f364,440.0,17528.98828125,24881670.0,0.9254879951477052,6582.72265625,262.734619140625,0.0026463191024959,100.0,44000.0,0.0024556347634643,25.93930435180664,0.5,100
polymer_sensitivity_v1-0001-16d0f364,460.0,23585.998046875,25353390.0,15.612648963928224,6894.9755859375,262.6738586425781,0.0049608023837208,100.0,46000.0,0.0778374001383781,27.49605369567871,0.5,100
polymer_sensitivity_v1-0001-16d0f364,480.0,17508.29296875,25703556.0,0.9243981838226318,6913.4638671875,262.7303771972656,0.0026434734463691,100.0,48000.0,0.0024500987492501,27.545055389404297,0.5,100
polymer_sensitivity_v1-0001-16d0f364,500.0,23428.482421875,26172126.0,14.965208053588867,7212.76806640625,262.6729431152344,0.0050650429911911,100.0,50000.0,0.0761853083968162,29.06875991821289,0.5,100
polymer_sensitivity_v1-0001-16d0f364,520.0,17521.486328125,26522556.0,0.9250972867012024,7231.27001953125,262.72930908203125,0.0026390519924461,100.0,52000.0,0.0024478398263454,29.11771774291992,0.5,100
polymer_sensitivity_v1-0001-16d0f364,540.0,23307.701171875,26988710.0,14.476401329040527,7520.7978515625,262.6741943359375,0.0051597533747553,100.0,54000.0,0.0750820636749267,30.61935806274414,0.5,100
polymer_sensitivity_v1-0001-16d0f364,560.0,17545.78125,27339626.0,0.9263818860054016,7539.32568359375,262.7303771972656,0.0026334915310144,100.0,56000.0,0.0024460605345666,30.66827964782715,0.5,100
polymer_sensitivity_v1-0001-16d0f364,580.0,23209.1875,27803810.0,14.106483459472656,7821.455078125,262.6770324707031,0.0052466401830315,100.0,58000.0,0.0744019970297813,32.15631866455078,0.5,100
polymer_sensitivity_v1-0001-16d0f364,600.0,17572.5,28155260.0,0.9277939200401306,7840.01123046875,262.7331848144531,0.0026271129027009,100.0,60000.0,0.0024438395630568,32.205196380615234,0.5,100
polymer_sensitivity_v1-0001-16d0f364,620.0,23126.755859375,28617794.0,13.8336181640625,8116.68359375,262.6811828613281,0.0053262151777744,100.0,62000.0,0.0740753710269928,33.686702728271484,0.5,100
polymer_sensitivity_v1-0001-16d0f364,640.0,17600.962890625,28969814.0,0.9292975068092346,8135.26953125,262.7373962402344,0.0026201880536973,100.0,64000.0,0.0024413310457021,33.735530853271484,0.5,100
polymer_sensitivity_v1-0001-16d0f364,660.0,23050.9375,29430832.0,13.634051322937012,8407.9501953125,262.686279296875,0.0053987256251275,100.0,66000.0,0.0740060433745384,35.21565246582031,0.5,100
polymer_sensitivity_v1-0001-16d0f364,680.0,17624.75390625,29783328.0,0.9305542707443236,8426.5615234375,262.74267578125,0.0026129393372684,100.0,68000.0,0.0024378518573939,35.264408111572266,0.5,100
polymer_sensitivity_v1-0001-16d0f364,700.0,22980.244140625,30242932.0,13.494545936584473,8696.4521484375,262.6922607421875,0.0054648132063448,100.0,70000.0,0.0741503909230232,36.74741744995117,0.5,100
polymer_sensitivity_v1-0001-16d0f364,720.0,17643.205078125,30595796.0,0.9315286874771118,8715.0830078125,262.7489318847656,0.0026055474299937,100.0,72000.0,0.0024334827903658,36.796085357666016,0.5,100
polymer_sensitivity_v1-0001-16d0f364,740.0,22913.7109375,31054070.0,13.41045379638672,8983.2919921875,262.69903564453125,0.005524527747184,100.0,74000.0,0.0744979903101921,38.28604507446289,0.5,100
polymer_sensitivity_v1-0001-16d0f364,760.0,17657.94921875,31407230.0,0.9323073029518129,9001.9384765625,262.7560119628906,0.0025981746148318,100.0,76000.0,0.002428607083857,38.334617614746094,0.5,100
polymer_sensitivity_v1-0001-16d0f364,780.0,22853.025390625,31864290.0,13.377833366394045,9269.4951171875,262.7064514160156,0.0055781565606594,100.0,78000.0,0.0750422403216362,39.83546447753906,0.5,100
polymer_sensitivity_v1-0001-16d0f364,800.0,17670.28515625,32217696.0,0.9329585433006288,9288.154296875,262.76385498046875,0.002590958494693,100.0,80000.0,0.0024235360324382,39.883934020996094,0.5,100
polymer_sensitivity_v1-0001-16d0f364,820.0,22794.880859375,32673594.0,13.38918113708496,9555.9375,262.71441650390625,0.0056256558746099,100.0,82000.0,0.0757490620017051,41.3989143371582,0.5,100
polymer_sensitivity_v1-0001-16d0f364,840.0,17680.2890625,33027200.0,0.9334863424301147,9574.607421875,262.7723388671875,0.0025840287562459,100.0,84000.0,0.0024184046778827,41.44728469848633,0.5,100
polymer_sensitivity_v1-0001-16d0f364,860.0,22741.357421875,33482026.0,13.440937042236328,9843.42578125,262.72283935546875,0.0056675388477742,100.0,86000.0,0.0766112357378006,42.97950744628906,0.5,100
polymer_sensitivity_v1-0001-16d0f364,880.0,17696.68359375,33835960.0,0.9343515634536744,9862.11328125,262.7816467285156,0.0025775022804737,100.0,88000.0,0.0024145166389644,43.02779769897461,0.5,100
polymer_sensitivity_v1-0001-16d0f364,900.0,22683.10546875,34289624.0,13.513460159301758,10132.3828125,262.731689453125,0.005703599192202,100.0,90000.0,0.0775174871087074,44.5781478881836,0.5,100
polymer_sensitivity_v1-0001-16d0f364,920.0,17715.599609375,34643936.0,0.9353497624397278,10151.0888671875,262.7916259765625,0.0025714787188917,100.0,92000.0,0.0024114330299198,44.62637710571289,0.5,100
polymer_sensitivity_v1-0001-16d0f364,940.0,22626.361328125,35096460.0,13.607385635375977,10423.2373046875,262.74078369140625,0.0057340511120855,100.0,94000.0,0.0784754306077957,46.19588470458984,0.5,100
polymer_sensitivity_v1-0001-16d0f364,960.0,17729.51953125,35451052.0,0.9360839128494264,10441.958984375,262.8019714355469,0.0025660342071205,100.0,96000.0,0.0024082029704004,46.244049072265625,0.5,100
polymer_sensitivity_v1-0001-16d0f364,980.0,22570.384765625,35902460.0,13.731478691101074,10716.587890625,262.75030517578125,0.0057596443220973,100.0,98000.0,0.0795465931296348,47.83498001098633,0.5,100
polymer_sensitivity_v1-0001-16d0f364,1000.0,17738.544921875,36257232.0,0.9365596771240234,10735.3193359375,262.81268310546875,0.0025612362660467,100.0,100000.0,0.0024049100466072,47.883079528808594,0.5,100
polymer_sensitivity_v1-0001-16d0f364,1020.0,22515.921875,36707548.0,13.883116722106934,11012.9814453125,262.7601623535156,0.0057807364501059,100.0,102000.0,0.080721266567707,49.49750518798828,0.5,100
polymer_sensitivity_v1-0001-16d0f364,1040.0,17752.673828125,37062604.0,0.9373048543930054,11031.7275390625,262.8235778808594,0.0025571421720087,100.0,104000.0,0.0024029666092246,49.54556274414063,0.5,100
polymer_sensitivity_v1-0001-16d0f364,1060.0,22479.828125,37512200.0,14.061790466308594,11312.9638671875,262.769775390625,0.0057978518307209,100.0,106000.0,0.0820036232471466,51.18563461303711,0.5,100
polymer_sensitivity_v1-0001-16d0f364,1080.0,17779.45703125,37867788.0,0.9387181401252748,11331.73828125,262.8345642089844,0.0025537963956594,100.0,108000.0,0.0024034327361732,51.23370361328125,0.5,100
